RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0233  2.62500 1.25192 1.00000 1.00000 1.00000 0.03000 1.30000 1.14431 1.00000
0234  2.63611 2.17113 1.00000 1.00000 1.00000 0.03000 1.30000 1.59225 1.00000
0235  2.79861 1.57297 1.00000 1.00000 1.00000 0.03000 1.30000 1.31230 1.00000
0236  2.80972 1.15089 1.00000 1.00000 1.00000 0.03000 1.30000 1.08798 1.00000
0237  2.82083 1.22878 1.00000 1.00000 1.00000 0.03000 1.30000 1.13158 1.02000
0238  2.83194 1.98265 1.00000 1.00000 1.00000 0.03000 1.30000 1.50781 1.00000
0239  2.84306 1.09773 1.00000 1.00000 1.00000 0.03000 1.30000 1.05754 1.00000
0240  2.85417 1.00083 1.00000 1.00000 1.00000 0.03000 1.30000 1.00050 1.02000
0241  2.86528 1.30606 1.00000 1.00000 1.00000 0.03000 1.30000 1.17376 1.00000
0242  2.87639 2.42040 1.00000 1.00000 1.00000 0.03000 1.30000 1.69954 1.00000
0243  3.03889 1.67013 1.00000 1.00000 1.00000 0.03000 1.30000 1.36035 1.00000
0244  3.05000 1.18503 1.00000 1.00000 1.00000 0.03000 1.30000 1.10723 1.00000
0245  3.06111 1.20705 1.00000 1.00000 1.00000 0.03000 1.30000 1.11953 1.02000
0246  3.07222 2.18011 1.00000 1.00000 1.00000 0.03000 1.30000 1.59620 1.00000
0247  3.08333 1.11382 1.00000 1.00000 1.00000 0.03000 1.30000 1.06681 1.00000
0248  3.09444 1.00052 1.00000 1.00000 1.00000 0.03000 1.30000 1.00031 1.00000
0249  3.10556 1.36941 1.00000 1.00000 1.00000 0.03000 1.30000 1.20759 1.00000
0250  3.11667 2.74052 1.00000 1.00000 1.00000 0.03000 1.30000 1.83105 1.00000
0251  3.27917 1.78752 1.00000 1.00000 1.00000 0.03000 1.30000 1.41694 1.00000
0252  3.29028 1.22544 1.00000 1.00000 1.00000 0.03000 1.30000 1.12973 1.00000
0253  3.30139 1.19068 1.00000 1.00000 1.00000 0.03000 1.30000 1.11039 1.02000
0254  3.31250 2.43041 1.00000 1.00000 1.00000 0.03000 1.30000 1.70376 1.00000
0255  3.32361 1.13446 1.00000 1.00000 1.00000 0.03000 1.30000 1.07863 1.00000
0256  3.33472 1.00313 1.00000 1.00000 1.00000 0.03000 1.30000 1.00188 1.00000
0257  3.34583 1.44372 1.00000 1.00000 1.00000 0.03000 1.30000 1.24649 1.00000
0258  3.50694 1.92253 1.00000 1.00000 1.00000 0.03000 1.30000 1.48021 1.00000
0259  3.51806 1.27035 1.00000 1.00000 1.00000 0.03000 1.30000 1.15439 1.00000
0260  3.52917 1.17981 1.00000 1.00000 1.00000 0.03000 1.30000 1.10430 1.02000
0261  3.54028 2.73650 1.00000 1.00000 1.00000 0.03000 1.30000 1.82944 1.00000
0262  3.55139 1.15861 1.00000 1.00000 1.00000 0.03000 1.30000 1.09235 1.00000
0263  3.56250 1.00834 1.00000 1.00000 1.00000 0.03000 1.30000 1.00500 1.00000
0264  3.57361 1.52633 1.00000 1.00000 1.00000 0.03000 1.30000 1.28881 1.00000
0265  3.73472 2.08742 1.00000 1.00000 1.00000 0.03000 1.30000 1.55513 1.00000
0266  3.74583 1.32271 1.00000 1.00000 1.00000 0.03000 1.30000 1.18271 1.00000
0267  3.75694 1.17325 1.00000 1.00000 1.00000 0.03000 1.30000 1.10061 1.02000
0268  3.76806 1.18612 1.00000 1.00000 1.00000 0.03000 1.30000 1.10784 1.00000
0269  3.77917 1.01583 1.00000 1.00000 1.00000 0.03000 1.30000 1.00947 1.00000
0270  3.79028 1.61825 1.00000 1.00000 1.00000 0.03000 1.30000 1.33484 1.00000
0271  3.95139 2.28077 1.00000 1.00000 1.00000 0.03000 1.30000 1.64002 1.00000
0272  3.96250 1.38054 1.00000 1.00000 1.00000 0.03000 1.30000 1.21347 1.00000
0273  3.97361 1.17092 1.00000 1.00000 1.00000 0.03000 1.30000 1.09930 1.02000
0274  3.98472 1.21853 1.00000 1.00000 1.00000 0.03000 1.30000 1.12590 1.00000
0275  3.99583 1.02587 1.00000 1.00000 1.00000 0.03000 1.30000 1.01544 1.00000
