RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing
0253  3.30139 1.19068 1.00000 1.00000 1.00000 0.03438 1.30000 1.11039 
0254  3.31250 2.43041 1.00000 1.00000 1.00000 0.03437 1.30000 1.70376 
0255  3.32361 1.13446 1.00000 1.00000 1.00000 0.03436 1.30000 1.07863 
0256  3.33472 1.00313 1.00000 1.00000 1.00000 0.03434 1.30000 1.00188 
0257  3.34583 1.44372 1.00000 1.00000 1.00000 0.03433 1.30000 1.24649 
0258  3.50694 1.92253 1.00000 1.00000 1.00000 0.03416 1.30000 1.48021 
0259  3.51806 1.27035 1.00000 1.00000 1.00000 0.03415 1.30000 1.15439 
0260  3.52917 1.17981 1.00000 1.00000 1.00000 0.03414 1.30000 1.10430 
0261  3.54028 2.73650 1.00000 1.00000 1.00000 0.03413 1.30000 1.82944 
0262  3.55139 1.15861 1.00000 1.00000 1.00000 0.03412 1.30000 1.09235 
0263  3.56250 1.00834 1.00000 1.00000 1.00000 0.03410 1.30000 1.00500 
0264  3.57361 1.52633 1.00000 1.00000 1.00000 0.03409 1.30000 1.28881 
0265  3.73472 2.08742 1.00000 1.00000 1.00000 0.03393 1.30000 1.55513 
0266  3.74583 1.32271 1.00000 1.00000 1.00000 0.03392 1.30000 1.18271 
0267  3.75694 1.17325 1.00000 1.00000 1.00000 0.03391 1.30000 1.10061 
0268  3.76806 1.18612 1.00000 1.00000 1.00000 0.03390 1.30000 1.10784 
0269  3.77917 1.01583 1.00000 1.00000 1.00000 0.03389 1.30000 1.00947 
0270  3.79028 1.61825 1.00000 1.00000 1.00000 0.03388 1.30000 1.33484 
0271  3.95139 2.28077 1.00000 1.00000 1.00000 0.03372 1.30000 1.64002 
0272  3.96250 1.38054 1.00000 1.00000 1.00000 0.03371 1.30000 1.21347 
0273  3.97361 1.17092 1.00000 1.00000 1.00000 0.03370 1.30000 1.09930 
0274  3.98472 1.21853 1.00000 1.00000 1.00000 0.03369 1.30000 1.12590 
0275  3.99583 1.02587 1.00000 1.00000 1.00000 0.03368 1.30000 1.01544 
